Nummer;Score;Bewertungen;Land;Vorwahl;Suchanfragen;Anruftyp;Anrufname;Vorwahlname;Deeplink;CallerTypeId
072172118122000;8;237;49;721;104175;Aggressive Werbung;Angeblich 1&1;Karlsruhe;https://www.tellows.de/num/072172118122000;5;
+4972118122000;8;237;49;721;104175;Aggressive Werbung;Angeblich 1&1;Karlsruhe;https://www.tellows.de/num/072172118122000;5;
015515510800215;8;71;49;155;23031;Gewinnspiel;Balea;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510800215;3;
+4915510800215;8;71;49;155;23031;Gewinnspiel;Balea;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510800215;3;
091191188185622;7;32;49;911;16637;Meinungsforschung;Meinungsforschung Nürnberg;Nürnberg;https://www.tellows.de/num/091191188185622;6;
+4991188185622;7;32;49;911;16637;Meinungsforschung;Meinungsforschung Nürnberg;Nürnberg;https://www.tellows.de/num/091191188185622;6;
021611619494413;8;41;49;2161;12253;Gewinnspiel;Gewinnspiel;Mönchengladbach;https://www.tellows.de/num/021611619494413;3;
+4921619494413;8;41;49;2161;12253;Gewinnspiel;Gewinnspiel;Mönchengladbach;https://www.tellows.de/num/021611619494413;3;
023123122613175;8;249;49;231;32609;Aggressive Werbung;Cold Call KI Anrufbeantworter;Dortmund;https://www.tellows.de/num/023123122613175;5;
+4923122613175;8;249;49;231;32609;Aggressive Werbung;Cold Call KI Anrufbeantworter;Dortmund;https://www.tellows.de/num/023123122613175;5;
072172118122002;8;60;49;721;49228;Aggressive Werbung;1&1;Karlsruhe;https://www.tellows.de/num/072172118122002;5;
+4972118122002;8;60;49;721;49228;Aggressive Werbung;1&1;Karlsruhe;https://www.tellows.de/num/072172118122002;5;
030930499189804;7;26;49;30;16204;Meinungsforschung;Meinungsforschung Berlin;Berlin;https://www.tellows.de/num/030930499189804;6;
+4930499189804;7;26;49;30;16204;Meinungsforschung;Meinungsforschung Berlin;Berlin;https://www.tellows.de/num/030930499189804;6;
035135189249906;7;39;49;351;17039;Telefonterror;Mittelstandsförderung;Dresden;https://www.tellows.de/num/035135189249906;7;
+4935189249906;7;39;49;351;17039;Telefonterror;Mittelstandsförderung;Dresden;https://www.tellows.de/num/035135189249906;7;
015515510785743;8;59;49;155;10002;Gewinnspiel;Lotto;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510785743;3;
+4915510785743;8;59;49;155;10002;Gewinnspiel;Lotto;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510785743;3;
015165162768541;8;82;49;1516;22081;Gewinnspiel;Europareisen;Telekom Deutschland;https://www.tellows.de/num/015165162768541;3;
+4915162768541;8;82;49;1516;22081;Gewinnspiel;Europareisen;Telekom Deutschland;https://www.tellows.de/num/015165162768541;3;
015515510866883;8;54;49;155;9591;Gewinnspiel;Gewinnspiel;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510866883;3;
+4915510866883;8;54;49;155;9591;Gewinnspiel;Gewinnspiel;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510866883;3;
08008003311202;7;26;49;800;15912;Vermarkter Hotline;Deutsche Telekom;Kostenlose Rufnummer;https://www.tellows.de/num/08008003311202;9;
+498003311202;7;26;49;800;15912;Vermarkter Hotline;Deutsche Telekom;Kostenlose Rufnummer;https://www.tellows.de/num/08008003311202;9;
00493046690014;8;251;49;30;186687;Meinungsforschung;Ipsos;Berlin;https://www.tellows.de/num/00493046690014;6;
03046690014;8;251;49;30;186687;Meinungsforschung;Ipsos;Berlin;https://www.tellows.de/num/00493046690014;6;
040940855997158;8;71;49;40;7467;Gewinnspiel;Lotto Abo;Hamburg;https://www.tellows.de/num/040940855997158;3;
+4940855997158;8;71;49;40;7467;Gewinnspiel;Lotto Abo;Hamburg;https://www.tellows.de/num/040940855997158;3;
017617685017334;8;69;49;176;8408;Aggressive Werbung;Photovoltaik-Portal;O2 (Germany);https://www.tellows.de/num/017617685017334;5;
+4917685017334;8;69;49;176;8408;Aggressive Werbung;Photovoltaik-Portal;O2 (Germany);https://www.tellows.de/num/017617685017334;5;
021611619494414;8;20;49;2161;7995;Telefonterror;Achtung;Mönchengladbach;https://www.tellows.de/num/021611619494414;7;
+4921619494414;8;20;49;2161;7995;Telefonterror;Achtung;Mönchengladbach;https://www.tellows.de/num/021611619494414;7;
015755753955449;8;41;49;1575;8365;Kostenfalle;Falcana Plus Zentrum;E-Plus;https://www.tellows.de/num/015755753955449;8;
+4915753955449;8;41;49;1575;8365;Kostenfalle;Falcana Plus Zentrum;E-Plus;https://www.tellows.de/num/015755753955449;8;
01621621592331;8;64;49;162;10838;Telefonterror;Monika;Vodafone;https://www.tellows.de/num/01621621592331;7;
+491621592331;8;64;49;162;10838;Telefonterror;Monika;Vodafone;https://www.tellows.de/num/01621621592331;7;
028228227849876;8;68;49;2822;6657;Telefonterror;Serviceteam Pflegebedürftige;Emmerich;https://www.tellows.de/num/028228227849876;7;
+4928227849876;8;68;49;2822;6657;Telefonterror;Serviceteam Pflegebedürftige;Emmerich;https://www.tellows.de/num/028228227849876;7;
015515510791490;8;37;49;155;7828;Aggressive Werbung;Photovoltaik;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510791490;5;
+4915510791490;8;37;49;155;7828;Aggressive Werbung;Photovoltaik;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510791490;5;
01741745357690;7;29;49;174;7679;Gewinnspiel;Gewinnspiel Mediamarkt;Vodafone;https://www.tellows.de/num/01741745357690;3;
+491745357690;7;29;49;174;7679;Gewinnspiel;Gewinnspiel Mediamarkt;Vodafone;https://www.tellows.de/num/01741745357690;3;
+639307580121;8;21;63;930;7359;SMS Spam;Evelyn von GRIN Deutschland;Smart Telecommunications;https://www.tellows.de/num/%2B639307580121;11;
038348343913888;8;20;49;3834;7800;Ping Anruf;Consors Finanz;Greifswald;https://www.tellows.de/num/038348343913888;10;
+4938343913888;8;20;49;3834;7800;Ping Anruf;Consors Finanz;Greifswald;https://www.tellows.de/num/038348343913888;10;
021611619039896;8;29;49;2161;6040;Telefonterror;Gewinnspiel Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039896;7;
+4921619039896;8;29;49;2161;6040;Telefonterror;Gewinnspiel Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039896;7;
040940855997159;8;43;49;40;5645;Gewinnspiel;Losglück Deutschland;Hamburg;https://www.tellows.de/num/040940855997159;3;
+4940855997159;8;43;49;40;5645;Gewinnspiel;Losglück Deutschland;Hamburg;https://www.tellows.de/num/040940855997159;3;
01751758882737;9;47;49;175;10623;Kostenfalle;Nadine Goschwitz;T-Mobile;https://www.tellows.de/num/01751758882737;8;
+491758882737;9;47;49;175;10623;Kostenfalle;Nadine Goschwitz;T-Mobile;https://www.tellows.de/num/01751758882737;8;
086546544079900;8;67;49;8654;16678;Gewinnspiel;Fake Gewinnspiel;Freilassing;https://www.tellows.de/num/086546544079900;3;
+4986544079900;8;67;49;8654;16678;Gewinnspiel;Fake Gewinnspiel;Freilassing;https://www.tellows.de/num/086546544079900;3;
022122165031168;8;14;49;221;6838;Vermarkter Hotline;PKV Werbung;Köln;https://www.tellows.de/num/022122165031168;9;
+4922165031168;8;14;49;221;6838;Vermarkter Hotline;PKV Werbung;Köln;https://www.tellows.de/num/022122165031168;9;
021121195589602;8;42;49;211;7616;Telefonterror;Verkauf Firmeneinträge;Düsseldorf;https://www.tellows.de/num/021121195589602;7;
+4921195589602;8;42;49;211;7616;Telefonterror;Verkauf Firmeneinträge;Düsseldorf;https://www.tellows.de/num/021121195589602;7;
+639476493266;8;26;63;947;6736;SMS Spam;Joe Oldenz / Monster;Smart Telecommunications;https://www.tellows.de/num/%2B639476493266;11;
01731736184804;9;53;49;173;11043;Telefonterror;Deutsche Buchhaltungs Zentrale;Vodafone;https://www.tellows.de/num/01731736184804;7;
+491736184804;9;53;49;173;11043;Telefonterror;Deutsche Buchhaltungs Zentrale;Vodafone;https://www.tellows.de/num/01731736184804;7;
015755755384220;7;62;49;1575;20146;Meinungsforschung;Free Point;E-Plus;https://www.tellows.de/num/015755755384220;6;
+4915755384220;7;62;49;1575;20146;Meinungsforschung;Free Point;E-Plus;https://www.tellows.de/num/015755755384220;6;
032212211225580;8;102;49;3221;45582;Telefonterror;Marcophono;Voice-over-IP Nummernkreis;https://www.tellows.de/num/032212211225580;7;
+4932211225580;8;102;49;3221;45582;Telefonterror;Marcophono;Voice-over-IP Nummernkreis;https://www.tellows.de/num/032212211225580;7;
021611619494415;8;40;49;2161;5914;Telefonterror;Immoconnect24;Mönchengladbach;https://www.tellows.de/num/021611619494415;7;
+4921619494415;8;40;49;2161;5914;Telefonterror;Immoconnect24;Mönchengladbach;https://www.tellows.de/num/021611619494415;7;
021121195586813;8;67;49;211;4484;Telefonterror;Düsseldorf;Düsseldorf;https://www.tellows.de/num/021121195586813;7;
+4921195586813;8;67;49;211;4484;Telefonterror;Düsseldorf;Düsseldorf;https://www.tellows.de/num/021121195586813;7;
015515510688029;8;41;49;155;5637;Kostenfalle;Verwaltungszentrale;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510688029;8;
+4915510688029;8;41;49;155;5637;Kostenfalle;Verwaltungszentrale;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510688029;8;
01731731791962;8;56;49;173;11844;Kostenfalle;Vodafone;Vodafone;https://www.tellows.de/num/01731731791962;8;
+491731791962;8;56;49;173;11844;Kostenfalle;Vodafone;Vodafone;https://www.tellows.de/num/01731731791962;8;
039831831429188;8;20;49;39831;6759;Aggressive Werbung;Consors Finanz;Feldberg Meckl;https://www.tellows.de/num/039831831429188;5;
+4939831429188;8;20;49;39831;6759;Aggressive Werbung;Consors Finanz;Feldberg Meckl;https://www.tellows.de/num/039831831429188;5;
00491748848193;8;62;49;174;11725;Gewinnspiel;Gewinnspielbetrüger;Vodafone;https://www.tellows.de/num/00491748848193;3;
01748848193;8;62;49;174;11725;Gewinnspiel;Gewinnspielbetrüger;Vodafone;https://www.tellows.de/num/00491748848193;3;
021121195586801;8;65;49;211;5630;Telefonterror;Qualitätsabteilung, Millio..;Düsseldorf;https://www.tellows.de/num/021121195586801;7;
+4921195586801;8;65;49;211;5630;Telefonterror;Qualitätsabteilung, Millio..;Düsseldorf;https://www.tellows.de/num/021121195586801;7;
01621621876841;8;57;49;162;10979;Gewinnspiel;Lotto-Tippgemeinschaft;Vodafone;https://www.tellows.de/num/01621621876841;3;
+491621876841;8;57;49;162;10979;Gewinnspiel;Lotto-Tippgemeinschaft;Vodafone;https://www.tellows.de/num/01621621876841;3;
030930499189805;8;21;49;30;5903;Meinungsforschung;Ping-Pong Anruf;Berlin;https://www.tellows.de/num/030930499189805;6;
+4930499189805;8;21;49;30;5903;Meinungsforschung;Ping-Pong Anruf;Berlin;https://www.tellows.de/num/030930499189805;6;
016016098039988;8;129;49;160;70016;Aggressive Werbung;Telekom;T-Mobile;https://www.tellows.de/num/016016098039988;5;
+4916098039988;8;129;49;160;70016;Aggressive Werbung;Telekom;T-Mobile;https://www.tellows.de/num/016016098039988;5;
020320334695386;7;10;49;203;8141;Ping Anruf;;Duisburg;https://www.tellows.de/num/020320334695386;10;
+4920334695386;7;10;49;203;8141;Ping Anruf;;Duisburg;https://www.tellows.de/num/020320334695386;10;
01741745725099;8;56;49;174;10725;Gewinnspiel;Lotto-Zentrale;Vodafone;https://www.tellows.de/num/01741745725099;3;
+491745725099;8;56;49;174;10725;Gewinnspiel;Lotto-Zentrale;Vodafone;https://www.tellows.de/num/01741745725099;3;
040940756748610;8;34;49;40;5231;Telefonterror;telefonterror;Hamburg;https://www.tellows.de/num/040940756748610;7;
+4940756748610;8;34;49;40;5231;Telefonterror;telefonterror;Hamburg;https://www.tellows.de/num/040940756748610;7;
