tld,has_rdap,ok_bases,bases,conformance,notes
aaa,True,1,https://rdap.nic.aaa/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aaa/ OK 400
aarp,True,1,https://rdap.nic.aarp/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aarp/ OK 400
abb,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
abbott,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
abbvie,True,1,https://rdap.nominet.uk/abbvie/,,https://rdap.nominet.uk/abbvie/ JSON 404 (no rdapConformance)
abc,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
able,True,1,https://rdap.nic.able/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.able/ OK 400
abogado,True,1,https://rdap.nic.abogado/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.abogado/ OK 400
abudhabi,True,1,https://rdap.nic.abudhabi/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.abudhabi/ OK 400
ac,False,0,,,No RDAP base in bootstrap
academy,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
accenture,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
accountant,True,1,https://rdap.nic.accountant/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.accountant/ OK 400
accountants,True,1,https://rdap.identitydigital.services/rdap/,"icann_rdap_response_profile_1,icann_rdap_technical_implementation_guide_1,rdap_level_0",https://rdap.identitydigital.services/rdap/help OK 200
aco,True,1,https://rdap.nic.aco/,"icann_rdap_response_profile_0,icann_rdap_technical_implementation_guide_0,rdap_level_0",https://rdap.nic.aco/help OK 200
